wavelength_nm,reflectance
971.0,0.316812
972.0,0.317140
973.0,0.317436
974.0,0.317755
975.0,0.318074
976.0,0.318181
977.0,0.318467
978.0,0.318897
979.0,0.319283
980.0,0.319586
981.0,0.319955
982.0,0.320396
983.0,0.320819
984.0,0.321113
985.0,0.321445
986.0,0.321771
987.0,0.322035
988.0,0.322440
989.0,0.322642
990.0,0.322760
991.0,0.323094
992.0,0.323447
993.0,0.323694
994.0,0.323859
995.0,0.324081
996.0,0.324421
997.0,0.324806
998.0,0.325051
999.0,0.325087
1000.0,0.325457
1001.0,0.325743
1002.0,0.326071
1003.0,0.326400
1004.0,0.326676
1005.0,0.327025
1006.0,0.327374
1007.0,0.327710
1008.0,0.328032
1009.0,0.328378
1010.0,0.328663
1011.0,0.328897
1012.0,0.329103
1013.0,0.329375
1014.0,0.329648
1015.0,0.329909
1016.0,0.330277
1017.0,0.330613
1018.0,0.330919
1019.0,0.331257
1020.0,0.331573
1021.0,0.331876
1022.0,0.332185
1023.0,0.332482
1024.0,0.332792
1025.0,0.333051
1026.0,0.333269
1027.0,0.333503
1028.0,0.333775
1029.0,0.334108
1030.0,0.334504
1031.0,0.334863
1032.0,0.335210
1033.0,0.335549
1034.0,0.335812
1035.0,0.336110
1036.0,0.336402
1037.0,0.336601
1038.0,0.336816
1039.0,0.337057
1040.0,0.337283
1041.0,0.337575
1042.0,0.337924
1043.0,0.338281
1044.0,0.338639
1045.0,0.338926
1046.0,0.339127
1047.0,0.339332
1048.0,0.339552
1049.0,0.339806
1050.0,0.340161
1051.0,0.340491
1052.0,0.340822
1053.0,0.341134
1054.0,0.341358
1055.0,0.341590
1056.0,0.341807
1057.0,0.342050
1058.0,0.342335
1059.0,0.342662
1060.0,0.342990
1061.0,0.343273
1062.0,0.343501
1063.0,0.343704
1064.0,0.343941
1065.0,0.344194
1066.0,0.344461
1067.0,0.344806
1068.0,0.345111
1069.0,0.345352
1070.0,0.345607
1071.0,0.345854
1072.0,0.346098
1073.0,0.346343
1074.0,0.346603
1075.0,0.346899
1076.0,0.347139
1077.0,0.347362
1078.0,0.347629
1079.0,0.347888
1080.0,0.348104
1081.0,0.348347
1082.0,0.348659
1083.0,0.348929
1084.0,0.349169
1085.0,0.349414
1086.0,0.349607
1087.0,0.349814
1088.0,0.350110
1089.0,0.350375
1090.0,0.350636
1091.0,0.350856
1092.0,0.351054
1093.0,0.351267
1094.0,0.351486
1095.0,0.351756
1096.0,0.352001
1097.0,0.352206
1098.0,0.352419
1099.0,0.352602
1100.0,0.352794
1101.0,0.353057
1102.0,0.353290
1103.0,0.353498
1104.0,0.353694
1105.0,0.353774
1106.0,0.353888
1107.0,0.354013
1108.0,0.354234
1109.0,0.354480
1110.0,0.354488
1111.0,0.354506
1112.0,0.354368
1113.0,0.354239
1114.0,0.354322
1115.0,0.354307
1116.0,0.353935
1146.0,0.354495
1147.0,0.354480
1148.0,0.354594
1149.0,0.354709
1150.0,0.354877
1151.0,0.355114
1152.0,0.355237
1153.0,0.355436
1154.0,0.355890
1155.0,0.356221
1156.0,0.356273
1157.0,0.356449
1158.0,0.356762
1159.0,0.357015
1160.0,0.357197
1161.0,0.357409
1162.0,0.357643
1163.0,0.357839
1164.0,0.357973
1165.0,0.358112
1166.0,0.358289
1167.0,0.358416
1168.0,0.358518
1169.0,0.358738
1170.0,0.358928
1171.0,0.358955
1172.0,0.359022
1173.0,0.359224
1174.0,0.359377
1175.0,0.359461
1176.0,0.359566
1177.0,0.359717
1178.0,0.359841
1179.0,0.359940
1180.0,0.360069
1181.0,0.360224
1182.0,0.360326
1183.0,0.360435
1184.0,0.360644
1185.0,0.360832
1186.0,0.360918
1187.0,0.361035
