wavelength_nm,reflectance
1288.0,0.435377
1289.0,0.435190
1290.0,0.434974
1291.0,0.434718
1292.0,0.434423
1293.0,0.434109
1294.0,0.433800
1295.0,0.433509
1296.0,0.433221
1297.0,0.432919
1298.0,0.432584
1299.0,0.432203
1300.0,0.431757
1301.0,0.431249
1302.0,0.430723
1303.0,0.430227
1304.0,0.429786
1305.0,0.429369
1306.0,0.428942
1307.0,0.428478
1308.0,0.427975
1309.0,0.427435
1310.0,0.426861
1311.0,0.426260
1312.0,0.425641
1313.0,0.425007
1314.0,0.424345
1315.0,0.423640
1316.0,0.422886
1317.0,0.422095
1318.0,0.421281
1319.0,0.420453
1320.0,0.419613
1321.0,0.418758
1322.0,0.417893
1323.0,0.417027
1324.0,0.416169
1325.0,0.415323
1326.0,0.414472
1327.0,0.413601
1328.0,0.412701
1329.0,0.411784
1330.0,0.410865
1331.0,0.409952
1332.0,0.409031
1333.0,0.408086
1334.0,0.407112
1335.0,0.406120
1336.0,0.405126
1337.0,0.404134
1338.0,0.403129
1339.0,0.402094
1340.0,0.401026
1341.0,0.399952
1342.0,0.398903
1343.0,0.397900
1344.0,0.396936
1345.0,0.396000
1346.0,0.395081
1347.0,0.394174
1348.0,0.393268
1349.0,0.392360
1350.0,0.391457
1351.0,0.390566
1352.0,0.389687
1353.0,0.388798
1354.0,0.387877
1355.0,0.386907
1356.0,0.385884
1357.0,0.384804
1358.0,0.383678
1359.0,0.382538
1360.0,0.381422
1361.0,0.380340
1362.0,0.379239
1363.0,0.378061
1364.0,0.376764
1365.0,0.375352
1366.0,0.373832
1367.0,0.372211
1368.0,0.370492
1369.0,0.368679
1370.0,0.366771
1371.0,0.364760
1372.0,0.362636
1373.0,0.360387
1374.0,0.357988
1375.0,0.355415
1376.0,0.352645
1377.0,0.349653
1378.0,0.346414
1379.0,0.342919
1380.0,0.339187
1381.0,0.335242
1382.0,0.331108
1383.0,0.326806
1384.0,0.322358
1385.0,0.317774
1386.0,0.313041
1387.0,0.308142
1388.0,0.303072
1389.0,0.297852
1390.0,0.292505
1391.0,0.287064
1392.0,0.281579
1393.0,0.276100
1394.0,0.270667
1395.0,0.265290
1396.0,0.259976
1397.0,0.254732
1398.0,0.249567
1399.0,0.244494
1400.0,0.239524
1401.0,0.234680
1402.0,0.229983
1403.0,0.225449
1404.0,0.221081
1405.0,0.216879
1406.0,0.212842
1407.0,0.208973
1408.0,0.205270
1409.0,0.201736
1410.0,0.198379
1411.0,0.195208
1412.0,0.192227
1413.0,0.189419
1414.0,0.186770
1415.0,0.184269
1416.0,0.181925
1417.0,0.179750
1418.0,0.177739
1419.0,0.175866
1420.0,0.174096
1421.0,0.172409
1422.0,0.170816
1423.0,0.169329
1424.0,0.167956
1425.0,0.166687
1426.0,0.165514
1427.0,0.164429
1428.0,0.163421
1429.0,0.162484
1430.0,0.161611
1431.0,0.160797
1432.0,0.160038
1433.0,0.159335
1434.0,0.158705
1435.0,0.158163
1436.0,0.157714
1437.0,0.157332
1438.0,0.156988
1439.0,0.156663
1440.0,0.156362
1441.0,0.156094
1442.0,0.155863
1443.0,0.155660
1444.0,0.155476
1445.0,0.155309
1446.0,0.155178
1447.0,0.155100
1448.0,0.155085
1449.0,0.155118
1450.0,0.155181
1451.0,0.155259
1452.0,0.155347
1453.0,0.155443
1454.0,0.155550
1455.0,0.155685
1456.0,0.155867
1457.0,0.156107
1458.0,0.156401
1459.0,0.156741
1460.0,0.157122
1461.0,0.157544
1462.0,0.158007
1463.0,0.158512
1464.0,0.159056
1465.0,0.159636
1466.0,0.160252
1467.0,0.160910
1468.0,0.161618
1469.0,0.162382
1470.0,0.163201
1471.0,0.164078
1472.0,0.165008
1473.0,0.165979
1474.0,0.166976
1475.0,0.167991
1476.0,0.169024
1477.0,0.170080
1478.0,0.171163
1479.0,0.172276
1480.0,0.173425
1481.0,0.174612
1482.0,0.175836
1483.0,0.177095
1484.0,0.178385
1485.0,0.179686
1486.0,0.180982
1487.0,0.182262
1488.0,0.183537
1489.0,0.184820
1490.0,0.186119
1491.0,0.187429
1492.0,0.188745
1493.0,0.190061
1494.0,0.191377
1495.0,0.192691
1496.0,0.194006
1497.0,0.195334
1498.0,0.196689
1499.0,0.198076
1500.0,0.199486
1501.0,0.200906
1502.0,0.202324
1503.0,0.203738
1504.0,0.205142
1505.0,0.206535
1506.0,0.207919
1507.0,0.209293
1508.0,0.210658
1509.0,0.212006
1510.0,0.213331
1511.0,0.214634
1512.0,0.215933
1513.0,0.217251
1514.0,0.218599
1515.0,0.219969
1516.0,0.221353
1517.0,0.222737
1518.0,0.224106
1519.0,0.225442
1520.0,0.226736
1521.0,0.227999
1522.0,0.229243
1523.0,0.230477
1524.0,0.231699
1525.0,0.232905
1526.0,0.234098
1527.0,0.235291
1528.0,0.236498
1529.0,0.237725
1530.0,0.238958
1531.0,0.240180
1532.0,0.241379
1533.0,0.242553
1534.0,0.243704
1535.0,0.244832
1536.0,0.245939
1537.0,0.247027
1538.0,0.248098
1539.0,0.249155
1540.0,0.250198
1541.0,0.251230
1542.0,0.252255
1543.0,0.253276
1544.0,0.254298
1545.0,0.255329
1546.0,0.256375
1547.0,0.257439
1548.0,0.258509
1549.0,0.259574
1550.0,0.260620
1551.0,0.261632
1552.0,0.262594
1553.0,0.263503
1554.0,0.264388
1555.0,0.265280
1556.0,0.266199
1557.0,0.267136
1558.0,0.268077
1559.0,0.269011
1560.0,0.269931
1561.0,0.270833
1562.0,0.271713
1563.0,0.272581
1564.0,0.273447
1565.0,0.274314
1566.0,0.275174
1567.0,0.276013
1568.0,0.276828
1569.0,0.277630
1570.0,0.278433
1571.0,0.279242
1572.0,0.280047
1573.0,0.280833
1574.0,0.281593
1575.0,0.282334
1576.0,0.283066
1577.0,0.283796
1578.0,0.284527
1579.0,0.285262
1580.0,0.286000
1581.0,0.286735
1582.0,0.287461
1583.0,0.288173
1584.0,0.288873
1585.0,0.289564
1586.0,0.290248
1587.0,0.290931
1588.0,0.291615
1589.0,0.292302
1590.0,0.292982
1591.0,0.293644
1592.0,0.294283
1593.0,0.294912
1594.0,0.295541
1595.0,0.296176
1596.0,0.296807
1597.0,0.297421
1598.0,0.298011
1599.0,0.298591
1600.0,0.299174
1601.0,0.299770
1602.0,0.300375
1603.0,0.300982
1604.0,0.301586
1605.0,0.302179
1606.0,0.302750
1607.0,0.303295
1608.0,0.303811
1609.0,0.304297
1610.0,0.304759
1611.0,0.305208
1612.0,0.305661
1613.0,0.306124
1614.0,0.306591
1615.0,0.307054
1616.0,0.307508
1617.0,0.307956
1618.0,0.308404
1619.0,0.308854
1620.0,0.309300
1621.0,0.309738
1622.0,0.310163
1623.0,0.310579
1624.0,0.310990
1625.0,0.311398
1626.0,0.311803
1627.0,0.312204
1628.0,0.312600
1629.0,0.312989
1630.0,0.313370
1631.0,0.313742
1632.0,0.314100
1633.0,0.314439
1634.0,0.314755
1635.0,0.315036
1636.0,0.315274
1637.0,0.315464
1638.0,0.315618
1639.0,0.315752
1640.0,0.315878
1641.0,0.316003
1642.0,0.316133
1643.0,0.316269
1644.0,0.316397
1645.0,0.316499
1646.0,0.316562
1647.0,0.316578
1648.0,0.316540
1649.0,0.316455
1650.0,0.316348
1651.0,0.316249
1652.0,0.316175
1653.0,0.316105
1654.0,0.316017
1655.0,0.315894
1656.0,0.315735
1657.0,0.315543
1658.0,0.315327
1659.0,0.315118
1660.0,0.314948
1661.0,0.314828
1662.0,0.314733
1663.0,0.314626
1664.0,0.314489
1665.0,0.314331
1666.0,0.314166
1667.0,0.314009
1668.0,0.313872
1669.0,0.313767
1670.0,0.313695
1671.0,0.313635
1672.0,0.313565
1673.0,0.313471
1674.0,0.313371
1675.0,0.313283
1676.0,0.313217
1677.0,0.313159
1678.0,0.313093
1679.0,0.313003
1680.0,0.312887
1681.0,0.312739
1682.0,0.312564
1683.0,0.312380
1684.0,0.312211
1685.0,0.312067
1686.0,0.311932
1687.0,0.311784
1688.0,0.311614
1689.0,0.311424
1690.0,0.311222
1691.0,0.311012
1692.0,0.310787
1693.0,0.310540
1694.0,0.310269
1695.0,0.309988
1696.0,0.309710
1697.0,0.309445
1698.0,0.309183
1699.0,0.308914
1700.0,0.308630
1701.0,0.308324
1702.0,0.307993
1703.0,0.307634
1704.0,0.307254
1705.0,0.306858
1706.0,0.306450
1707.0,0.306022
1708.0,0.305566
1709.0,0.305082
1710.0,0.304583
1711.0,0.304085
1712.0,0.303599
1713.0,0.303113
1714.0,0.302619
1715.0,0.302110
1716.0,0.301590
1717.0,0.301067
1718.0,0.300541
1719.0,0.300007
1720.0,0.299455
1721.0,0.298885
1722.0,0.298305
1723.0,0.297729
1724.0,0.297163
1725.0,0.296602
1726.0,0.296038
1727.0,0.295477
1728.0,0.294953
1729.0,0.294503
1730.0,0.294146
1731.0,0.293858
1732.0,0.293611
1733.0,0.293384
1734.0,0.293180
1735.0,0.293003
1736.0,0.292844
1737.0,0.292662
1738.0,0.292410
1739.0,0.292068
1740.0,0.291670
1741.0,0.291261
1742.0,0.290863
1743.0,0.290462
1744.0,0.290035
1745.0,0.289570
1746.0,0.289080
1747.0,0.288581
1748.0,0.288077
1749.0,0.287549
1750.0,0.286978
1751.0,0.286356
1752.0,0.285712
1753.0,0.285079
1754.0,0.284472
1755.0,0.283874
1756.0,0.283259
1757.0,0.282612
1758.0,0.281934
1759.0,0.281231
1760.0,0.280516
1761.0,0.279826
1762.0,0.279201
1763.0,0.278668
1764.0,0.278226
1765.0,0.277870
1766.0,0.277587
1767.0,0.277337
1768.0,0.277078
1769.0,0.276785
1770.0,0.276470
1771.0,0.276147
1772.0,0.275835
1773.0,0.275558
1774.0,0.275341
1775.0,0.275185
1776.0,0.275043
1777.0,0.274858
1778.0,0.274607
1779.0,0.274332
1780.0,0.274086
1818.0,0.270722
1819.0,0.270740
1820.0,0.270763
1821.0,0.270773
1822.0,0.270745
1823.0,0.270656
1824.0,0.270489
1825.0,0.270234
1826.0,0.269887
1827.0,0.269505
1828.0,0.269170
1829.0,0.268947
1830.0,0.268804
1831.0,0.268665
1832.0,0.268466
1833.0,0.268233
1834.0,0.268029
1835.0,0.267910
1836.0,0.267864
1837.0,0.267850
1838.0,0.267825
1839.0,0.267768
1840.0,0.267667
1841.0,0.267507
1842.0,0.267257
1843.0,0.266873
1844.0,0.266311
1845.0,0.265513
1846.0,0.264409
1847.0,0.262946
1848.0,0.261224
1849.0,0.259447
1850.0,0.257804
1851.0,0.256306
1852.0,0.254839
1853.0,0.253287
1854.0,0.251565
1855.0,0.249606
1856.0,0.247354
1857.0,0.244855
1858.0,0.242241
1859.0,0.239639
1860.0,0.237036
1861.0,0.234301
1862.0,0.231304
1863.0,0.228005
1864.0,0.224453
1865.0,0.220697
1866.0,0.216806
1867.0,0.212866
1868.0,0.208959
1869.0,0.205059
1870.0,0.201019
1871.0,0.196692
1872.0,0.192014
1873.0,0.187018
1874.0,0.181743
1875.0,0.176295
1876.0,0.170857
1877.0,0.165618
1878.0,0.160587
1879.0,0.155551
1880.0,0.150280
1881.0,0.144692
1882.0,0.138910
1883.0,0.133067
1884.0,0.127289
1885.0,0.121678
1886.0,0.116335
1887.0,0.111307
1888.0,0.106548
1889.0,0.102005
1890.0,0.097633
1891.0,0.093406
1892.0,0.089297
1893.0,0.085304
1894.0,0.081466
1895.0,0.077825
1896.0,0.074412
1897.0,0.071234
1898.0,0.068293
1899.0,0.065608
1900.0,0.063222
1901.0,0.061186
1902.0,0.059499
1903.0,0.058039
1904.0,0.056667
1905.0,0.055303
1906.0,0.054010
1907.0,0.052871
1908.0,0.051932
1909.0,0.051122
1910.0,0.050353
1911.0,0.049565
1912.0,0.048777
1913.0,0.048028
1914.0,0.047340
1915.0,0.046703
1916.0,0.046095
1917.0,0.045515
1918.0,0.045013
1919.0,0.044652
1920.0,0.044471
1921.0,0.044414
1922.0,0.044403
1923.0,0.044375
1924.0,0.044314
1925.0,0.044220
1926.0,0.044096
1927.0,0.043976
1928.0,0.043900
1929.0,0.043893
1930.0,0.043911
1931.0,0.043889
1932.0,0.043787
1933.0,0.043690
1934.0,0.043727
1935.0,0.043997
1936.0,0.044443
1937.0,0.044952
1938.0,0.045422
1939.0,0.045796
1940.0,0.046041
1941.0,0.046131
1942.0,0.046121
1943.0,0.046100
1944.0,0.046149
1945.0,0.046317
1946.0,0.046637
1947.0,0.047128
1948.0,0.047685
1949.0,0.048146
1950.0,0.048368
1951.0,0.048365
1952.0,0.048234
1953.0,0.048072
1954.0,0.047967
1955.0,0.048005
1956.0,0.048259
1957.0,0.048675
1958.0,0.049128
1959.0,0.049501
1960.0,0.049789
1961.0,0.050053
1962.0,0.050349
